ODDDD	393054
A	154097
ODDDDDDD	137830
v	111354
DDDDDFD	98270
a	72553
Wd	61391
C	50936
u	48693
DDDDu	43232
ODDDDDD	37812
uDDDD	35068
dLLLL	32278
DDDDDDu	31485
QOR	31337
dLLL	29197
LLLLd	28698
LLLd	27061
ODDDDD	24447
uDDD	23073
DDODDDD	22140
dV	22085
dLLLLL	20596
uDFD	19696
LLLLLd	19638
DDODD	19487
QOF	18544
DDDDFD	17320
ODDDDDDDD	17210
uDD	16560
Vd	16513
DDDFD	15394
DDDQD	13942
dDDDD	13561
du	12964
DDDDs	12830
ODOD	12672
DDODFD	12609
DDDODDD	12223
uDDDDDD	11948
dd	11476
DODDDDDDDD	11345
N	11320
WdV	11066
QODDDD	11004
QDDDD	9573
dOD	9523
dLL	9443
DODDDDDDD	9095
dLLLLLL	9035
DODDD	8601
DDDDDDs	8407
DDDDR	8125
DODDDD	7976
DDDDF	7717
vDDDD	7607
vDD	7576
QOu	7407
QDDDDDD	7309
LLLOD	7280
sDDDD	7220
LLLLLLu	7023
t	6888
cLLLd	6463
vOD	6454
LLLLLLOD	6448
dDDDDDD	5953
Vv	5894
QODDu	5822
DDDDDu	5785
LLLLLLLu	5779
dDDD	5744
dLLLLLLL	5620
sDFD	5519
vu	5420
uR	5336
dDD	5265
DDDu	5226
DDDDDDO	5186
LLLLLLLLu	5163
VLLLL	5111
LLLLu	5066
vLLLL	5035
LLLLLLd	5031
LLLLLLLOD	5005
LLLLLOD	4947
s	4772
LLLLLu	4703
ODDDFD	4691
QODD	4666
DDOu	4631
DDDDO	4602
vLLL	4510
uDDDDD	4437
cv	4430
c	4339
DDDOD	4312
vDDD	4289
Wv	4248
uu	4075
LLd	4061
dDFD	3973
LLLLLLLLOD	3971
VLLLLL	3908
DDODDu	3901
dODDDD	3900
DDu	3892
DODDDDDD	3719
VLLL	3709
DDODDDDDD	3650
d	3632
QDDDFD	3620
sDD	3533
DDQDDDDDD	3524
VDDDD	3502
DDQDD	3418
DODDDDD	3370
ODLLL	3327
VLLLLLL	3319
Wdu	3275
WdDD	3248
DQDDD	3198
QDR	3129
LLLLOD	3123
Vu	3118
QDDDDDDD	3069
VLLLLLLL	3063
dLLLLLLLL	3032
LLLLv	3004
DFDDDDD	2984
cLLLL	2888
DDDDDDDFD	2864
DDDDDDDDF	2849
vd	2829
vLLLLL	2821
QDDDDD	2808
LLLv	2790
au	2780
LLLLV	2755
dVu	2740
uDDDDDDD	2687
uD	2671
vDFD	2604
LLLLLLLLLu	2595
LLLu	2579
WLLLL	2576
vLL	2553
dW	2532
MR	2502
E	2491
LLODDDD	2471
uDDDFD	2414
LLLLODD	2390
aDD	2377
DDDDODD	2367
vv	2358
FFF	2349
dODD	2336
LLLODDDD	2332
cLLL	2295
ODDDDDDDDD	2277
dVDD	2277
ODDu	2276
LLLLLv	2266
dDDu	2239
DDuDD	2236
vD	2236
VLLLLLLLL	2208
WdDDDD	2200
DDODDD	2187
DDDDDDDu	2166
ds	2158
vs	2157
ODDDDLL	2153
LLLLLV	2140
DDDDQ	2138
FDDDD	2137
MDDDD	2136
OOR	2117
OOO	2110
DDDDODDDD	2109
uF	2096
cLLLLd	2069
DDDDQDD	2057
DDDDDDDOD	2031
LLLV	2021
OODDDD	2019
dVDDDD	2009
DDuDDDD	2003
WLLLLL	1998
DDDDDDODD	1966
DDODDDDD	1965
ODDDDL	1947
DDDDDDDF	1946
DDFDD	1920
WLLL	1917
dODDD	1907
ODODOD	1901
LLLLLLLLLOD	1894
cLLLLL	1893
DDDFDDDDD	1891
WV	1886
VOD	1857
DuDDD	1849
DDQDDDDD	1821
aDDDD	1801
LLLdDD	1794
DDDDDODDD	1793
DDDDDDOD	1757
ODDDDu	1751
DDDDDFDDD	1739
DDDDDDFD	1729
DDDDDDDDO	1724
QDDu	1698
dLLLDD	1695
LLLLDFD	1675
LLLLLLLd	1673
DFDDD	1664
VDDDDDD	1659
LLLdu	1654
LLu	1644
dv	1641
vLLLLLL	1641
LLLLN	1632
NN	1632
DDDDFDDDD	1610
DDOR	1605
DDDDDDDDu	1597
DDDR	1584
LLLLLLO	1581
VV	1560
uuu	1556
DDDDDDDQD	1548
Nu	1548
dDDDDD	1541
DDOs	1525
DDDDDDF	1522
DDDDQDDDD	1520
DDDDDDFDD	1517
dR	1516
sDDDDDD	1512
dVOD	1499
ddd	1488
LLLLc	1480
OODD	1479
WdOD	1451
LLLLLLs	1447
ODDDDLLL	1442
DDDDDDQDD	1420
aOD	1405
DDDDDs	1400
LLLLdu	1400
LODDDD	1394
DOR	1393
LLLLLLLLLLu	1392
LLLODDD	1389
LLLLLDFD	1389
DDDDDQDDD	1364
DDDDDDDDQ	1359
LLLLdDD	1359
ODDDDDDDL	1356
DDQDDDD	1347
LLLLLLDFD	1329
NLLLL	1327
VLLLd	1324
DDDDDOD	1318
LLLLLLv	1317
VODDDD	1307
dLLLu	1303
LLLLLN	1294
DDDDuDD	1262
cLLLLLL	1256
WdDDD	1250
QDDDDu	1250
LLLN	1245
cu	1244
DDDDOD	1242
dDDDDDDDD	1240
ADD	1233
LLLLLLLs	1215
vDDu	1215
QOQF	1208
VLLLLLLLLL	1204
DDDODD	1200
vDDDDDD	1199
